"233	Intermediate  Dutch	215	39	40	10	2",,
"508	Anthropology	507	23	24	15	2",,
"553	Aspergers	551	5	6	16	2",,
"554	Autism	551	7	8	16	2",,
"555	Dyslexia	551	9	10	16	2",,
"151	Science		1	92	14	0",,
"152	others Science	151	68	91	14	1",,
"164	Zoology	152	89	90	14	2",,
"556	Hard Of Hearing	551	11	12	16	2",,
"557	Phonics Special Needs	551	13	14	16	2",,
"464	Adobe Photoshop	385	11	12	4	2",,
"465	Adobe Flash	385	3	4	4	2",,
"550	Special Needs		1	18	16	0",,
"551	Special Needs1	550	2	17	16	1",,
"199	Hebrew	7	74	81	10	1",,
"484	French Ab SL	47	25	26	9	2",,
"466	Microsoft Access	409	43	44	4	2",,
"490	German A2 SL	47	37	38	9	2",,
"467	Microsoft Excel	409	45	46	4	2",,
"485	French B HL	47	27	28	9	2",,
"342	Mathematics SL	46	123	124	9	2",,
"343	Music HL	46	125	126	9	2",,
"468	Microsoft PowerPoint	409	47	48	4	2",,
"344	Music SL	46	127	128	9	2",,
"345	Philosophy HL	46	129	130	9	2",,
"346	Philosophy SL	46	131	132	9	2",,
"347	Physics HL	46	133	134	9	2",,
"348	Physics SL	46	135	136	9	2",,
"349	Psychology HL	46	137	138	9	2",,
"486	French B SL	47	29	30	9	2",,
"350	Psychology SL	46	139	140	9	2",,
"351	Social & Cultural Anthropology HL	46	141	142	9	2",,
"491	German Ab SL	47	39	40	9	2",,
"492	German B HL	47	41	42	9	2",,
"495	Latin SL	47	47	48	9	2",,
"502	Spanish A2 SL	47	61	62	9	2",,
"528	Music		1	44	12	0",,
"245	Beginner Italian	213	101	102	10	2",,
"195	Inorganic Chemistry	173	23	24	14	2",,
"196	Organic Chemistry	173	25	26	14	2",,
"213	Italian	7	98	105	10	1",,
"262	Intermediate Greek	216	71	72	10	2",,
"187	Chemical Engineering	174	37	38	14	2",,
"188	Civil Engineering	174	39	40	14	2",,
"169	Anatomy	165	3	4	14	2",,
"194	Chemistry (AP/College Intro)	173	21	22	14	2",,
"210	Polish	7	138	145	10	1",,
"280	Intermediate Latin	205	127	128	10	2",,
"243	Beginner Greek	216	69	70	10	2",,
"263	Advanced Greek	216	67	68	10	2",,
"181	Physics (Waves and Optics)	175	63	64	14	2",,
"175	Physics	151	50	67	14	1",,
"158	Genetics	152	79	80	14	2",,
"159	Geology	152	81	82	14	2",,
"160	Nursing	152	83	84	14	2",,
"161	Pharmacology	152	85	86	14	2",,
"162	Physical Science	152	87	88	14	2",,
"183	Quantum Mechanics	175	65	66	14	2",,
"174	Engineering 	151	30	49	14	1",,
"197	Physical Chemistry	173	27	28	14	2",,
"167	Biology (AP/College Intro)	165	7	8	14	2",,
"168	Biology (College Advanced)	165	9	10	14	2",,
"170	Microbiology	165	11	12	14	2",,
"166	Basic Biology	165	5	6	14	2",,
"558	Speech	551	15	16	16	2",,
"552	ADD/ADHD	551	3	4	16	2",,
"310	Multivariable Calculus	292	21	22	11	2",,
"509	Archaeology	507	25	26	15	2",,
"510	Classics	507	27	28	15	2",,
"511	Criminal Justice	507	29	30	15	2",,
"513	Philosophy	507	31	32	15	2",,
"512	Religion	507	35	36	15	2",,
"515	Psychology	507	33	34	15	2",,
"506	Social Sciences		1	44	15	0",,
"507	others Social Sciences	506	22	43	15	1",,
"514	Political Science	507	41	42	15	2",,
"516	Sociology	507	39	40	15	2",,
"517	Social Studies Sciences	507	37	38	15	2",,
"522	World Geography	518	5	6	15	2",,
"523	Comparative Government and Politics	519	9	10	15	2",,
"519	Government & Politics	506	8	13	15	1",,
"524	US Government and Politics	519	11	12	15	2",,
"292	Calculus	290	12	25	11	1",,
"527	European History	520	17	18	15	2",,
"526	American History	520	15	16	15	2",,
"525	World History	520	19	20	15	2",,
"520	History 	506	14	21	15	1",,
"313	Statistics (AP/College Intro)	293	27	28	11	2",,
"314	Statistics (College Advanced)	293	29	30	11	2",,
"293	Statistics	290	26	33	11	1",,
"559	Other		1	24	13	0",,
"290	Math		1	52	11	0",,
"179	Physics (Fluid Mechanics)	175	59	60	14	2",,
"172	Physiology	165	15	16	14	2",,
"193	Basic Chemistry	173	19	20	14	2",,
"189	Electrical Engineering	174	41	42	14	2",,
"190	Industrial Engineering	174	43	44	14	2",,
"191	Mechanical Engineering	174	45	46	14	2",,
"192	Product Design	174	47	48	14	2",,
"204	Hindi	7	82	89	10	1",,
"229	Beginner Czech	211	29	30	10	2",,
"246	Beginner Indonesian	209	93	94	10	2",,
"217	Japanese	7	106	113	10	1",,
"276	Beginner Japanese	217	109	110	10	2",,
"286	Advanced Polish	210	139	140	10	2",,
